CropDays,SoilMoisture,temperature,humidity,Irrigation,N,P,K,ph,rainfall,label
5,345,21,55,0,10,79,18,5.624731338,184.6226709,pigeonpeas
13,659,26,40,1,7,56,23,5.545219232,55.50429227,mothbeans
45,201,23,19,0,37,65,16,5.683548308,63.59276673,kidneybeans
45,201,23,19,0,22,80,20,5.669560726,100.118612,kidneybeans
57,238,21,16,0,34,76,80,7.985417393,65.23811143,chickpea
60,789,24,19,1,29,68,23,5.82738029,116.7324324,kidneybeans
66,780,22,21,1,25,60,22,5.887263027,134.3649948,kidneybeans
94,230,21,18,0,31,76,82,7.599279991,79.20509212,chickpea
94,230,21,18,0,6,62,22,5.824090984,120.4509288,kidneybeans
94,230,21,18,0,5,65,16,5.866744372,109.1013261,kidneybeans
100,135,21,15,0,30,65,82,7.103798069,76.77888672,chickpea
12,543,25,53,0,22,43,24,4.52363558,46.19374559,mothbeans
19,649,29,61,0,4,43,18,8.840656256,72.98016599,mothbeans
19,649,29,61,0,39,36,22,9.072011412,34.03335472,mothbeans
19,649,29,61,0,32,41,16,7.702287236,68.54877876,mothbeans
19,649,29,61,0,39,42,20,8.055908858,40.82840673,mothbeans
19,649,29,61,0,35,52,15,9.93509073,65.67591794,mothbeans
19,649,29,61,0,41,74,18,6.599147298,73.37686831,blackgram
17,430,23,72,0,63,42,21,5.798423908,67.10225139,maize
17,430,23,72,0,99,38,21,6.352471866,67.72777298,maize
21,210,26,50,0,6,63,23,5.906596905,160.3337447,pigeonpeas
39,350,23,21,0,31,55,22,5.873171894,109.225556,kidneybeans
39,350,23,21,0,0,55,22,5.916779289,143.8584938,kidneybeans
45,700,21,15,1,30,65,82,7.103798069,76.77888672,chickpea
46,300,20,14,0,52,56,85,6.81712422,88.68168643,chickpea
62,250,21,15,0,30,65,82,7.103798069,76.77888672,chickpea
62,990,21,15,1,30,65,82,7.103798069,76.77888672,chickpea
70,990,24,19,1,29,68,23,5.82738029,116.7324324,kidneybeans
77,450,21,14,0,31,70,77,6.492546046,90.46228334,chickpea
77,450,21,14,0,28,76,82,6.654425315,83.75937135,chickpea
77,450,21,14,0,32,71,85,6.403982316,92.06630306,chickpea
82,200,21,17,0,58,70,84,6.231049028,74.6631118,chickpea
87,300,21,14,0,31,70,77,6.492546046,90.46228334,chickpea
87,300,21,14,0,28,76,82,6.654425315,83.75937135,chickpea
87,300,21,14,0,32,71,85,6.403982316,92.06630306,chickpea
93,400,25,18,0,37,74,15,5.582178402,62.7089169,kidneybeans
93,400,25,18,0,32,68,19,5.514234138,149.7441028,kidneybeans
105,306,32,67,0,57,67,25,7.551364319,64.55882254,blackgram
105,306,32,67,0,21,72,17,7.580527339,61.71111448,blackgram
105,306,32,67,0,60,59,22,7.191522601,74.22238583,blackgram
115,750,29,38,1,26,72,22,4.674941549,91.72084869,pigeonpeas
132,600,22,21,0,25,60,22,5.887263027,134.3649948,kidneybeans
160,980,23,22,0,23,65,20,5.833940084,108.3684316,kidneybeans
160,980,23,22,0,33,59,22,5.946999529,122.3886015,kidneybeans
160,980,23,22,0,31,79,25,5.902033406,63.38208822,kidneybeans
160,980,23,22,0,34,59,18,5.744117663,87.66898664,kidneybeans
166,832,33,32,0,25,64,20,4.807776749,105.0380275,pigeonpeas
170,677,32,45,0,40,70,20,5.623490043,147.0361442,pigeonpeas
170,677,32,45,0,18,17,31,5.667507706,93.75441586,mango
1,400,24,70,1,99,40,32,7.045543056,163.2708732,coffee
5,448,19,65,1,63,43,17,6.807487794,71.3195307,maize
8,450,19,70,1,76,48,18,5.77597783,83.21030571,maize
10,222,20,60,0,83,58,23,6.381201909,65.50861389,maize
10,222,20,60,0,36,67,20,6.924042372,53.31508572,lentil
13,350,20,64,1,87,60,23,6.439071996,62.50351892,maize
13,350,20,64,1,79,59,17,6.644205485,108.5054416,maize
13,350,20,64,1,7,63,24,6.818681086,53.04669416,lentil
19,350,22,60,1,86,55,21,6.803931519,109.7515385,maize
19,350,22,60,1,74,48,17,6.430616465,69.21803098,maize
19,350,22,60,1,71,35,24,5.826426917,67.96704792,maize
19,350,22,60,1,62,48,20,6.708446922,95.71388473,maize
21,143,18,70,0,13,61,24,7.629910253,49.39111479,lentil
25,497,20,60,1,83,58,23,6.381201909,65.50861389,maize
25,497,20,60,1,36,67,20,6.924042372,53.31508572,lentil
27,220,18,70,0,13,61,24,7.629910253,49.39111479,lentil
34,465,21,65,1,99,36,20,6.671085817,78.34604471,maize
45,321,19,70,0,76,48,18,5.77597783,83.21030571,maize
52,567,19,75,1,76,57,18,6.092725883,94.26249353,maize
55,220,15,80,0,40,140,195,6.294395676,71.63437433,grapes
55,220,15,80,0,34,133,202,5.804799142,74.82144653,grapes
60,675,19,75,1,76,57,18,6.092725883,94.26249353,maize
70,543,20,68,1,19,79,19,6.677262562,42.89509057,lentil
72,210,18,70,0,13,61,24,7.629910253,49.39111479,lentil
